,Site Name,Site Address,Site City,Site State Abbreviation,Site Postal Code,Site Telephone Number,Site Web Address,Health Center Service Delivery Site Location Setting Description,Health Center Location Type Description,Health Center Type Description,Geocoding Artifact Address Primary X Coordinate,Geocoding Artifact Address Primary Y Coordinate
222,Santa Paula Hospital Clinic,845 N 10th St STE 3,Santa Paula,CA,93060-1348,805-525-0215,,All Other Clinic Types,Permanent,Service Delivery Site,-119.06568923,34.3659256
223,ORANGE MOUND HEALTH CENTER,2569 Douglass Ave,Memphis,TN,38114-2532,901-842-3164,www.christcommunityhealth.org,All Other Clinic Types,Permanent,Service Delivery Site,-89.9767364,35.11036626
225,Mayview Community Health Center Palo Alto a member of Ravenswood Family Health Network,270 Grant Ave,Palo Alto,CA,94306-1911,650-327-8717,,All Other Clinic Types,Permanent,Service Delivery Site,-122.14166781,37.42687003
227,TrueCare,1675 N Perris Blvd STE G1,Perris,CA,92571-4748,760-736-6700,,All Other Clinic Types,Permanent,Service Delivery Site,-117.22601252,33.802138
228,Sunnyside Health Center,4140 N Broadway St,Chicago,IL,60613-2121,312-337-1073,,All Other Clinic Types,Permanent,Service Delivery Site,-87.6528135,41.95804879
229,Wallace Dental Clinic,18139 NE Couch St,Portland,OR,97230-7281,503-489-1760,,All Other Clinic Types,Permanent,Service Delivery Site,-122.47586402,45.52272747
230,Mission Bernal Pediatric After Hours Clinic,1580 Valencia St STE 702,San Francisco,CA,94110-4415,866-961-8588,www.mnhc.org,All Other Clinic Types,Permanent,Service Delivery Site,-122.42026006,37.74747376
232,Tri-Med Family Care,6120 Alabama Hwy,Ringgold,GA,30736-2804,706-935-6442,www.nghcc.com,All Other Clinic Types,Permanent,Service Delivery Site,-85.13098165,34.90428124
235,"All For Health, South Central II",710 S Central Ave STE 350,Glendale,CA,91204-4647,818-409-3020,http://all4health.org/,All Other Clinic Types,Permanent,Service Delivery Site,-118.25782857,34.13745864
236,HealthOn Broadway,1 West Broadway Boulevard,Tucson,AZ,85701-3029,520-670-3909,,All Other Clinic Types,Permanent,Service Delivery Site,-110.97129002,32.22096996
242,Healthy Beginnings California,1414 N California St STE B,Stockton,CA,95202-1515,209-468-8154,sjhealth.org,All Other Clinic Types,Permanent,Service Delivery Site,-121.28831042,37.96756041
243,Grant Street Partnership Program at West Haven,285 Main St,West Haven,CT,06516-7307,203-503-3350,www.cornellscott.org,All Other Clinic Types,Permanent,Service Delivery Site,-72.94743989,41.27324736
244,Full Circle Health - Raymond,777 N Raymond St,Boise,ID,83704-9251,208-514-2500,www.fullcircleidaho.org,All Other Clinic Types,Permanent,Service Delivery Site,-116.26367959,43.61147736
247,Affinity Health Center- York,37 Pinckney St,York,SC,29745-1731,803-909-6363,,All Other Clinic Types,Permanent,Service Delivery Site,-81.24801698,34.98459681
248,Cadman Family Health Center,300 Cadman Plz W,Brooklyn,NY,11201-3229,834-434-2778,,All Other Clinic Types,Permanent,Service Delivery Site,-73.99102799,40.69503212
250,WILLIAM BYRON RUMFORD MED CLINIC,2960 Sacramento St,Berkeley,CA,94702-2510,510-549-3166,wohc@wohc.org,All Other Clinic Types,Permanent,Service Delivery Site,-122.27925399,37.85390315
251,Palms Medical Group - Lake City,173 NW Albritton Ln,Lake City,FL,32055-4451,386-752-4020,www.palmsmg.org,All Other Clinic Types,Permanent,Service Delivery Site,-82.6397688,30.21966745
252,"Community Health Care, Inc. River Drive Clinic",500 W River Dr,Davenport,IA,52801-1014,563-336-3000,www.davchc.com,All Other Clinic Types,Permanent,Service Delivery Site,-90.58054557,41.52029377
253,SVT Health & Wellness,206 Main St,Seldovia,AK,99663,907-435-3262,www.svt.org,All Other Clinic Types,Permanent,Administrative/Service Delivery Site,-151.71200507,59.43681155
254,LCH Health and Community Services,105 Vineyard Way STE 103,West Grove,PA,19390-8849,610-444-7550,,All Other Clinic Types,Permanent,Service Delivery Site,-75.87200158,39.81841707
256,Boston Mountain Rural Health Center - Eureka Springs,4004 E Van Buren,Eureka Springs,AR,72632,870-448-3796,,All Other Clinic Types,Permanent,Service Delivery Site,-93.70910609,36.39156937
258,Rossville Health Center,4940 Highway 57,Rossville,TN,38066,901-261-7303,www.memphishealthcenter.org,All Other Clinic Types,Permanent,Service Delivery Site,-89.54590413,35.04184971
259,KCS Health Center - Orangethorpe,"7212 Orangethorpe Ave, Ste 9A",Buena Park,CA,90621-4668,714-503-6550,www.kcsinc.org,All Other Clinic Types,Permanent,Service Delivery Site,-118.00724873,33.85889602
260,Signature Health Ashtabula Health Center,4726 Main Ave,Ashtabula,OH,44004-6929,440-992-8552,,All Other Clinic Types,Permanent,Service Delivery Site,-80.78264097,41.86412422
265,Summit Community Care Clinic Dental Clinic,360 Peak One Dr STE 325,Frisco,CO,80443-5948,970-668-4040,www.summitclinic.org,All Other Clinic Types,Permanent,Service Delivery Site,-106.07678671,39.57080156
267,My Friend's Place - CHLA,5850 Hollywood Blvd,Los Angeles,CA,90028-5611,323-669-2503,,All Other Clinic Types,Permanent,Service Delivery Site,-118.31716474,34.10166544
268,HealthLinc - Michigan City,710 Franklin St,Michigan City,IN,46360-3563,219-872-6200,www.healthlincchc.org,All Other Clinic Types,Permanent,Service Delivery Site,-86.90047928,41.71459291
269,FAMILY HEALTH SVCS OF COVENTRY,191 Macarthur Blvd,Coventry,RI,02816-7244,401-467-9610,www.comcap.org,All Other Clinic Types,Permanent,Service Delivery Site,-71.53893239,41.69733529
271,NORTH EAST MEDICAL SERVICES - 1400 NORIEGA,1400 Noriega St,San Francisco,CA,94122-4432,415-391-9686,http://www.nems.org/,All Other Clinic Types,Permanent,Service Delivery Site,-122.47884194,37.75415091
275,NorthShore Valparaiso Health Center,"85 E US Highway 6, Ste 330",Valparaiso,IN,46383-8948,219-763-8112,,All Other Clinic Types,Permanent,Service Delivery Site,-87.04945705,41.55008582
276,"Low Country Health Care System, Inc. dba Padgett Family Practice",526 North St,Bamberg,SC,29003-1319,803-245-2433,,All Other Clinic Types,Permanent,Service Delivery Site,-81.02918686,33.30748816
277,Landis Avenue Family Counseling Center,264 Landis Ave STE 100,Chula Vista,CA,91910-2627,619-906-5383,,All Other Clinic Types,Permanent,Service Delivery Site,-117.08147523,32.64234404
279,HELEN HUNT HEALTH CENTER,242 Brunswick St,Old Town,ME,04468,207-827-6128,,All Other Clinic Types,Permanent,Service Delivery Site,-68.64660549,44.93265515
281,La Maestra Family Clinic Inc.,4189 Fairmount Ave,San Diego,CA,92105-1609,619-280-4213,,All Other Clinic Types,Permanent,Service Delivery Site,-117.10081597,32.75299678
283,Community Dental,"69 Allen St, Ste 10",Rutland,VT,05701-4564,802-774-5050,,All Other Clinic Types,Permanent,Service Delivery Site,-72.96339727,43.59866671
284,PHILIPS-STRICKLAND HOUSE,21 Boyd St,Bangor,ME,04401-6560,207-941-2820,,All Other Clinic Types,Permanent,Service Delivery Site,-68.76273793,44.80407638
285,Maniilaq Health Center,5th Ave & Ted Stevens Way,Kotzebue,AK,99752,907-442-3321,www.maniilaqassociation.gov,All Other Clinic Types,Permanent,Service Delivery Site,-162.58664996,66.89705
286,ChapCare by  AltaMed Medical and Dental Group - Pasadena Fair Oaks,1855 N Fair Oaks Ave,Pasadena,CA,91103-1620,888-499-9303,www.altamed.org,All Other Clinic Types,Permanent,Administrative/Service Delivery Site,-118.15077331,34.17780828
288,La Maestra Dental Clinic,"4305 University Ave, Ste 150",San Diego,CA,92105-1690,619-501-1235,www.lamaestra.org,All Other Clinic Types,Permanent,Service Delivery Site,-117.1014359,32.74959384
290,CNHF - Wilshire Clinic B,"1245 Wilshire Blvd, Ste 715",Los Angeles,CA,90017-4807,213-643-3170,,All Other Clinic Types,Permanent,Service Delivery Site,-118.26610872,34.05362322
291,Evergreen Health - Hertel Ave. Pharmacy,800 Hertel Ave STE 105,Buffalo,NY,14207-1906,716-847-2441,,All Other Clinic Types,Permanent,Service Delivery Site,-78.87837964,42.94782559
292,Evara Health - Pinellas Park,7550 43rd St N,Pinellas Park,FL,33781-3601,727-824-8181,www.evarahealth.org,All Other Clinic Types,Permanent,Service Delivery Site,-82.69189192,27.84060023
293,Sea Mar CHC - Monroe W. Main St.,17707 W Main St,Monroe,WA,98272-1967,360-282-3885,www.seamar.org,All Other Clinic Types,Permanent,Service Delivery Site,-121.99293279,47.85049347
294,"Family Health Care Clinic, Inc.--Grenada",1732 Commerce St,Grenada,MS,38901-4615,662-227-0187,familyhealthcareclinic.com,All Other Clinic Types,Permanent,Service Delivery Site,-89.80888106,33.76510957
295,GUEGEEGUE DISPENSARY,GUEGEEGUE ISLAND,"KWAJALEIN Atoll, RMI",MH,96970,692-329-8030,http://en.wikipedia.org/wiki/Kwajalein_Atoll,All Other Clinic Types,Permanent,Service Delivery Site,166.412,11.121
297,The Wellness Center at Oak Orchard,317 West Ave,Albion,NY,14411-1522,585-637-3905,www.oakorchardhealth.org,All Other Clinic Types,Permanent,Service Delivery Site,-78.20313114,43.24159529
298,Midtown Health Center,"4131 N 24th St, Ste B102",Phoenix,AZ,85016-6231,480-882-4545,,All Other Clinic Types,Permanent,Service Delivery Site,-112.0302025,33.49598799
304,The Wright Center for Community Health North Scranton Practice,1721 N Main Ave,Scranton,PA,18508-1995,570-230-0019,,All Other Clinic Types,Permanent,Service Delivery Site,-75.65957766,41.43655823
305,GOSHEN MEDICAL CENTER - FREMONT,109 S Sycamore St,Fremont,NC,27830-8710,919-242-4382,www.goshenmedical.org,All Other Clinic Types,Permanent,Service Delivery Site,-77.97416814,35.54307623
306,GHMS Buford Family Health Center,3919 Carter Rd STE B,Buford,GA,30518-1628,770-887-1668,,All Other Clinic Types,Permanent,Service Delivery Site,-83.95614887,34.15500037
308,SCENIC RIVERS HEALTH SERVICES,601 Highway 73,Floodwood,MN,55736-8450,218-473-2969,www.scenicrivershealthservices.org,All Other Clinic Types,Permanent,Service Delivery Site,-92.91476378,46.92751689
311,High Country Community Health Avery Medical Site,448 Cranberry St,Newland,NC,28657-8800,828-737-0221,www.highcountrycommunityhealth.com,All Other Clinic Types,Permanent,Service Delivery Site,-81.92859139,36.09027331
312,VINALHAVEN ELDERCARE SERVICES,17 Beaver Dam Rd,Vinalhaven,ME,04863-3915,207-863-9980,none,All Other Clinic Types,Permanent,Service Delivery Site,-68.82532702,44.04996827
313,PHSC DENTAL CLINIC,2914 Betin Ave,Monroe,LA,71201-7258,318-323-4450,,All Other Clinic Types,Permanent,Service Delivery Site,-92.08728474,32.52055426
315,OVERTON COUNTY HEALTH DEPARTMENT,5880 Bradford Hicks Dr,Livingston,TN,38570-2236,931-823-6260,,All Other Clinic Types,Permanent,Service Delivery Site,-85.32333376,36.39784641
316,710 North King Street,710 N King St,Honolulu,HI,96817-5769,808-791-6315,www.kphc.org,All Other Clinic Types,Permanent,Service Delivery Site,-157.86611984,21.32036218
319,BACHC Boron,12560 Boron Ave,Boron,CA,93516-1647,661-874-4050,,All Other Clinic Types,Permanent,Service Delivery Site,-117.6497249,35.00734738
323,Bronx Health Collective @ 853 Longwood Ave,853 Longwood Ave,Bronx,NY,10459-4036,718-588-4460,,All Other Clinic Types,Permanent,Administrative/Service Delivery Site,-73.90103971,40.81938822
324,East Georgia Healthcare Center,34 NW Broad St,Metter,GA,30439-4025,912-685-4040,,All Other Clinic Types,Permanent,Service Delivery Site,-82.06214998,32.39803365
325,Montbello Family Health Center,12600 Albrook Dr,Denver,CO,80239-4604,303-602-4000,www.denverhealth.org,All Other Clinic Types,Permanent,Service Delivery Site,-104.84367984,39.78149315
326,Lone Star Circle of Care at Texas A&amp;M Health Science Center,3950 N A W Grimes Blvd,Round Rock,TX,78665-3540,877-800-5722,www.lonestarcares.org,All Other Clinic Types,Permanent,Service Delivery Site,-97.64591401,30.55606914
330,GOSHEN MEDICAL CENTER - CLINTON,906 N US 421 Hwy,Clinton,NC,28328-0410,910-592-1462,www.goshenmedical.org,All Other Clinic Types,Permanent,Service Delivery Site,-78.34448607,35.01619914
337,Erie Division Street Health Center,2418 W Division St,Chicago,IL,60622-2940,312-432-7394,www.eriefamilyhealth.org,All Other Clinic Types,Permanent,Service Delivery Site,-87.68770997,41.90306524
340,Camarena Health Country Club Urgent Care,1159 Country Club Dr,Madera,CA,93638-1537,559-664-4000,www.camarenahealth.org,All Other Clinic Types,Permanent,Service Delivery Site,-120.07407352,36.9763775
341,"Family Health Care Clinic, Inc. --MENDENHALL",401 Main St N,Mendenhall,MS,39114-3303,601-847-3306,www.familyhealthcareclinic.net,All Other Clinic Types,Permanent,Service Delivery Site,-89.86938442,31.96320966
342,COOS COUNTY FAMILY HEALTH SVCS,133 Pleasant St,Berlin,NH,03570-2006,603-752-2040,WWW.COOSFAMILYHEALTH.ORG,All Other Clinic Types,Permanent,Service Delivery Site,-71.18247553,44.46957839
343,HomePlace Clinic - Pikeville,118 River Dr,Pikeville,KY,41501-1597,606-433-2303,www.mtcomp.org,All Other Clinic Types,Permanent,Service Delivery Site,-82.52443566,37.47364524
348,Medical and Behavioral Health Center of Washington,351 W Beau St STE 200,Washington,PA,15301-4663,724-228-7400,www.cornerstonecare.com,All Other Clinic Types,Permanent,Service Delivery Site,-80.25154657,40.16992387
350,"COMMUNITY HEALTH CARE SYSTEMS, INC.",2251 W Elm St,Wrightsville,GA,31096-2017,478-864-2600 x208,www.chcsga.org,All Other Clinic Types,Permanent,Service Delivery Site,-82.7299243,32.72888937
352,Highlands Health Van,18 W Blackwell St,Dover,NJ,07801-3841,973-328-3344,www.zufallhealth.org,All Other Clinic Types,Permanent,Service Delivery Site,-74.55972168,40.88403767
356,WellSpace Health - Galt Community Health Center,216 N Lincoln Way STE 10,Galt,CA,95632-1715,916-737-5555,,All Other Clinic Types,Permanent,Service Delivery Site,-121.3008439,38.25762619
357,IHC at Kokomo,3118 S Lafountain St,Kokomo,IN,46902-3710,765-864-4160,,All Other Clinic Types,Permanent,Service Delivery Site,-86.12707043,40.45104138
358,METRO North St. Pete,11201 Corporate Cir N STE 140,Saint Petersburg,FL,33716-3701,727-321-3854,,All Other Clinic Types,Permanent,Service Delivery Site,-82.65427444,27.87357694
361,Our Daily Bread,725 Fallsway,Baltimore,MD,21202-4147,410-837-5533,,All Other Clinic Types,Permanent,Service Delivery Site,-76.61053207,39.29815749
362,Jackson-Hinds Comprehensive Health Center at the Jackson Medical Mall,350 W Woodrow Wilson Ave,Jackson,MS,39213-7681,601-709-5130,www.jackson-hinds.com,All Other Clinic Types,Permanent,Service Delivery Site,-90.19467393,32.32694987
366,"MBCHC North 3 Suite 401, 403, & 405",11645 Biscayne Blvd STE 405,Miami,FL,33181-3139,305-538-8835,miamibeachhealth.org,All Other Clinic Types,Permanent,Service Delivery Site,-80.16573784,25.88311185
369,Santa Fe Suites Outreach Service Site,3007 S Saint Francis Dr,Santa Fe,NM,87505-7069,505-982-1154,,All Other Clinic Types,Permanent,Service Delivery Site,-105.95477403,35.64450798
370,"DR ARENIA C. MALLORY CHC, INC.",17280 Highway 17,Lexington,MS,39095-6614,662-834-1857,www.mallorychc.org,All Other Clinic Types,Permanent,Service Delivery Site,-90.05365243,33.10360499
371,5th Ave Clinic,450 W 5th Ave,Eugene,OR,97401-2562,541-484-4800,https://whitebirdclinic.org/services/medical/,All Other Clinic Types,Permanent,Service Delivery Site,-123.09961801,44.05382748
372,Neighborhood Health Centers of Lehigh Valley - Easton,1101 Northampton St STE 102,Easton,PA,18042-4152,610-841-8400,http://www.nhclv.org/,All Other Clinic Types,Permanent,Service Delivery Site,-75.22472293,40.69051541
373,PACE of the Southern Piedmont,6133 The Plaza,Charlotte,NC,28215-2401,704-887-3840,www.pacesp.com,All Other Clinic Types,Permanent,Service Delivery Site,-80.75123748,35.24860791
374,DAHL MEMORIAL CLINIC,350 14th,Skagway,AK,99840,907-983-2255,,All Other Clinic Types,Permanent,Service Delivery Site,-135.30641857,59.46070722
375,ACCESS Family Care of Anderson,927 N 71 Business Hwy,Anderson,MO,64831-9753,417-845-8300,www.accessfamilycare.org,All Other Clinic Types,Permanent,Service Delivery Site,-94.44210555,36.66940842
376,"Logan Mingo Area Mental Health, Inc.",174 Lmah Center Rd,Logan,WV,25601-4058,304-792-7130,http://www.lmamh.org,All Other Clinic Types,Permanent,Service Delivery Site,-81.97193006,37.84208921
378,"Town Plaza Condominium, Building 1, Unit 9,  South Dennis",900 Route 134 BLDG 4 # 1,South Dennis,MA,02660-2575,781-780-7413 x165,,All Other Clinic Types,Permanent,Service Delivery Site,-70.1541927,41.71684157
379,Sunland Park Building B,2625 Mcnutt Rd STE B,Sunland Park,NM,88063-9608,575-528-1105,www.lcdfnm.org,All Other Clinic Types,Permanent,Service Delivery Site,-106.58244698,31.80181295
381,Pardee BlueMD 643 Fifth Avenue West,643 5th Ave W,Hendersonville,NC,28739-4205,828-694-7700,,All Other Clinic Types,Permanent,Service Delivery Site,-82.46814154,35.31671011
384,Elm Street Family Health Center,140 Elm St,San Diego,CA,92101-2602,619-515-2300,www.fhcsd.org,All Other Clinic Types,Permanent,Service Delivery Site,-117.16321798,32.72409752
385,METRO New Port Richey,4747 US Highway 19,New Port Richey,FL,34652-4945,727-494-7625,www.metrotampabay.org,All Other Clinic Types,Permanent,Service Delivery Site,-82.73195942,28.22810802
387,PrimaryPlus - Grayson,645 Interstate Dr,Grayson,KY,41143,606-796-3029,,All Other Clinic Types,Permanent,Service Delivery Site,-82.93442997,38.34435938
388,Dr. Peter Slaughter Health Center,20303 Kelly Rd,Detroit,MI,48225-1206,313-347-2116,,All Other Clinic Types,Permanent,Service Delivery Site,-82.94355512,42.44758582
389,Sea Mar CHC - 2502 E. Fourth Plain Blvd.,2502 E Fourth Plain Blvd,Vancouver,WA,98661-3965,360-831-0904,,All Other Clinic Types,Permanent,Service Delivery Site,-122.64496523,45.63864077
390,Martin County Community Health Center,Highway 645,Inez,KY,41224,606-298-3412,www.bshc.org,All Other Clinic Types,Permanent,Service Delivery Site,-82.55752676,37.89321909
391,One Health - Lewistown,311 W Main St,Lewistown,MT,59457-2770,406-535-6545,www.onechc.org,All Other Clinic Types,Permanent,Administrative/Service Delivery Site,-109.42647166,47.06512867
393,High Country Community Health Watauga Center,935 State Farm Road,Boone,NC,28607-4948,828-262-3886,,All Other Clinic Types,Permanent,Service Delivery Site,-81.65611508,36.20280606
